Variable,hsim
Experiment,rcp85
Zone,Q20
Code,IPSL-IPSL-CM5A-MR_r1i1p1_SMHI-RCA4_v1
1960-09-01,0.5147650754520422
1960-10-01,0
1960-11-01,0.4488730870925321
1960-12-01,0.009337672921932738
1961-01-01,0.925115604728805
1961-02-01,0.15367382637283972
1961-03-01,0.12645764916370333
1961-04-01,0.11982917291759435
1961-05-01,0.11354813866203159
1961-06-01,0.1075963346795233
1961-07-01,0.10195650384834636
1961-08-01,0.24742672457129128
1961-09-01,0.2860226724390918
1961-10-01,0.08674956543450832
1961-11-01,0.0822024507471355
1961-12-01,0.952312021435356
1962-01-01,1.3745868399607566
1962-02-01,0.6156372822256314
1962-03-01,0.35369287926252496
1962-04-01,0.33515351162352525
1962-05-01,0.317585914050043
1962-06-01,0.30093914968820995
1962-07-01,0.2851649516193352
1962-08-01,0.27021758291106
1962-09-01,0.256053704004152
1962-10-01,0.24263224705042827
1962-11-01,0.22991429683745346
1962-12-01,1.1766568171625964
1963-01-01,0.2733531214464987
1963-02-01,0.25902488836379856
1963-03-01,0.24544769211647754
1963-04-01,0.5556046256893424
1963-05-01,0.22039100649924848
1963-06-01,0.20883886583320466
1963-07-01,0.19789224875947004
1963-08-01,0.7022382182788034
1963-09-01,0.17769029118351753
1963-10-01,0.35651958597119804
1963-11-01,0.15955066344847074
1963-12-01,0.15118756489561017
1964-01-01,0.14326283128522727
1964-02-01,1.0838835453357196
1964-03-01,0.9911971757593274
1964-04-01,0.5145298400400288
1964-05-01,0.3457360051625595
1964-06-01,0.3276137095734808
1964-07-01,0.3104413225635318
1964-08-01,0.9814197524550721
1964-09-01,0.2787497203529074
1964-10-01,0.2641386160647288
1964-11-01,0.4187051594784851
1964-12-01,0.5984513218496008
1965-01-01,1.2071608721929052
1965-02-01,0.5014896078322089
1965-03-01,1.9219259702208742
1965-04-01,0.6147834658529678
1965-05-01,0.5825586251505154
1965-06-01,0.5520229000732819
1965-07-01,0.5230877529735033
1965-08-01,0.49566928704324636
1965-09-01,0.469688003057501
1965-10-01,0.4450685688679668
1965-11-01,1.364706852491251
1965-12-01,0.4429305213541873
1966-01-01,0.4197136225830247
1966-02-01,0.9408576598566485
1966-03-01,0.4026317237480637
1966-04-01,0.39985709733954544
1966-05-01,0.3615288050997568
1966-06-01,0.3425787051039416
1966-07-01,1.1585992150287578
1966-08-01,1.3047658281872205
1966-09-01,0.2932300086938731
1966-10-01,0.27785989735519456
1966-11-01,0.26329543453665094
1966-12-01,1.6551382010683797
1967-01-01,0.33348106598536154
1967-02-01,0.3160011322760962
1967-03-01,0.29943743673938644
1967-04-01,0.28374195331273044
1967-05-01,0.26886917329510357
1967-06-01,0.2547759733955036
1967-07-01,0.2414214906979389
1967-08-01,0.22876700418032278
1967-09-01,0.21677582244374163
1967-10-01,0.20541317732656902
1967-11-01,0.19464612309496354
1967-12-01,0.18444344091745477
1968-01-01,0.17477554834664405
1968-02-01,0.1656144135455638
1968-03-01,0.1569334740099969
1968-04-01,0.8451793036145795
1968-05-01,0.1584853248556523
1968-06-01,0.1501780676979407
1968-07-01,0.14230624846829726
1968-08-01,0.1348470430039928
1968-09-01,0.12777882350662645
1968-10-01,0.12108109583281064
1968-11-01,0.27627738401562246
1968-12-01,0.3130199888362818
1969-01-01,0.11648641248307554
1969-02-01,0.11038059426452733
1969-03-01,0.10459482209532732
1969-04-01,0.09911232025925912
1969-05-01,0.0939171923656132
1969-06-01,0.08899437525795977
1969-07-01,0.08432959533886561
1969-08-01,0.0799093271839196
1969-09-01,0.07572075432506882
1969-10-01,0.07175173208955794
1969-11-01,0.06799075238672378
1969-12-01,0.06442691034054543
1970-01-01,1.6776768333231422
1970-02-01,0.21639511573253253
1970-03-01,0.20505242595541784
1970-04-01,0.194304281073387
1970-05-01,0.18411951708220328
1970-06-01,0.17446860348784607
1970-07-01,0.1653235576835079
1970-08-01,0.15665786381465574
1970-09-01,0.14844639589690742
1970-10-01,0.14066534496380526
1970-11-01,0.5240063550333646
1970-12-01,0.49829427668628656
1971-01-01,1.1994837232287483
1971-02-01,0.2673435901875503
1971-03-01,0.2689830487290776
1971-04-01,0.2548838798697974
1971-05-01,0.24152374108494662
1971-06-01,0.22886389495274087
1971-07-01,0.21686763453418448
1971-08-01,0.20550017694212697
1971-09-01,1.0840687227717534
1971-10-01,1.3065509539718305
1971-11-01,1.671242431059881
1971-12-01,0.4318237064228343
1972-01-01,0.42298876465679414
1972-02-01,1.8348709171755804
1972-03-01,0.5652038670700811
1972-04-01,0.5442458132779254
1972-05-01,0.5157183143941929
1972-06-01,0.823472282238267
1972-07-01,0.46307087835845157
1972-08-01,0.43879829115030006
1972-09-01,0.4157979897137476
1972-10-01,0.39400328519231864
1972-11-01,0.37335098433066544
1972-12-01,0.9823193004470894
1973-01-01,1.2997053941180956
1973-02-01,1.2503740766065783
1973-03-01,0.6213921766354735
1973-04-01,0.6084659631876964
1973-05-01,0.5765722643072566
1973-06-01,0.5463503237334721
1973-07-01,0.5177125136296865
1973-08-01,0.49057579930989575
1973-09-01,0.46486149848154446
1973-10-01,0.4404950531079896
1973-11-01,0.4174058132291505
1973-12-01,0.3955268321135395
1974-01-01,0.5672254933389758
1974-02-01,1.327355123289246
1974-03-01,0.4170656657366911
1974-04-01,0.3952045139860007
1974-05-01,0.374489248830944
1974-06-01,0.354859806826327
1974-07-01,0.3362592728467481
1974-08-01,0.6544099007459009
1974-09-01,0.301932028565304
1974-10-01,0.286105787191057
1974-11-01,0.2711091031089796
1974-12-01,0.2568984937710228
1975-01-01,1.590801207673028
1975-02-01,0.31302307254546696
1975-03-01,0.4655945373913328
1975-04-01,0.2922854485905991
1975-05-01,0.2769648478528923
1975-06-01,0.2624473004594285
1975-07-01,0.24869071310820584
1975-08-01,0.9282586975990936
1975-09-01,0.22330296160586244
1975-10-01,0.21159818624052146
1975-11-01,0.200506935054922
1975-12-01,1.0993306382150025
1976-01-01,1.7163783532560126
1976-02-01,0.4339521129421402
1976-03-01,0.41120583154589074
1976-04-01,0.3896518322054874
1976-05-01,0.36922761958483835
1976-06-01,0.34987397413902427
1976-07-01,0.3315347804085597
1976-08-01,1.1472944775940976
1976-09-01,0.29768983897830104
1976-10-01,0.28208595863238956
1976-11-01,0.26729998017619383
1976-12-01,0.2532890319978858
1977-01-01,1.29942649392709
1977-02-01,0.9349782954039976
1977-03-01,0.3555238517189895
1977-04-01,0.3368885107836711
1977-05-01,0.31922997050489493
1977-06-01,0.30249703034246533
1977-07-01,0.28664117351289636
1977-08-01,0.27161642631609034
1977-09-01,0.25737922483562836
1977-10-01,0.24388828862617537
1977-11-01,0.2311045010217575
1977-12-01,1.1308685661220794
1978-01-01,0.2735472899204387
1978-02-01,0.2592088791922915
1978-03-01,0.24562203877679065
1978-04-01,0.2327473739358747
1978-05-01,0.22054755486853586
1978-06-01,0.20898720847390187
1978-07-01,0.19803281578772586
1978-08-01,0.1876526147949038
1978-09-01,0.17781650833622645
1978-10-01,0.16849597684234335
1978-11-01,0.15966399564191333
1978-12-01,0.151294956604178
1979-01-01,0.14336459388876283
1979-02-01,1.0833111757371063
1979-03-01,0.18882819491179748
1979-04-01,0.17893046857538428
1979-05-01,0.1695515471064131
1979-06-01,0.1606642365331238
1979-07-01,0.1522427682984864
