Variable,tas
Experiment,rcp85
Zone,Q18
Code,CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
1951-01-01,11.43771310506615
1951-02-01,12.934619089285716
1951-03-01,14.192488467741935
1951-04-01,16.58240137580292
1951-05-01,20.23456790322581
1951-06-01,21.392269299999995
1951-07-01,23.7231338648038
1951-08-01,21.33697277419355
1951-09-01,20.46626072121317
1951-10-01,19.446521580645165
1951-11-01,16.022047433718264
1951-12-01,15.582883419354836
1952-01-01,14.141729983870968
1952-02-01,13.642833565535804
1952-03-01,15.266832894780162
1952-04-01,15.911554150722232
1952-05-01,17.175231870967735
1952-06-01,21.923083837444185
1952-07-01,25.95708893548387
1952-08-01,23.18322986275497
1952-09-01,21.498172033333333
1952-10-01,19.61758107040737
1952-11-01,17.20184006666667
1952-12-01,14.411634235117106
1953-01-01,11.51230050645161
1953-02-01,12.325628615629077
1953-03-01,16.066144368727265
1953-04-01,15.737373816666667
1953-05-01,16.740219918645398
1953-06-01,19.06159763333333
1953-07-01,21.55623193548387
1953-08-01,23.56900916129032
1953-09-01,21.46263463333333
1953-10-01,19.89057832258065
1953-11-01,15.22846574988828
1953-12-01,13.555557135930021
1954-01-01,11.610015177419351
1954-02-01,12.105580482142859
1954-03-01,15.46508148387097
1954-04-01,16.29816743333333
1954-05-01,17.921679935483876
1954-06-01,20.751475358035886
1954-07-01,23.3341675483871
1954-08-01,22.88002943114631
1954-09-01,21.44444353333333
1954-10-01,20.114595507419782
1954-11-01,14.653308092022877
1954-12-01,13.398830535867685
1955-01-01,15.082688983870968
1955-02-01,14.25462630357143
1955-03-01,15.637760548387096
1955-04-01,15.351013328613083
1955-05-01,18.55213890322581
1955-06-01,21.177443299999997
1955-07-01,22.4008255483871
1955-08-01,23.91732282490775
1955-09-01,22.77488303333333
1955-10-01,20.146140591979357
1955-11-01,15.775711653570797
1955-12-01,14.267420995940128
1956-01-01,11.526156844975532
1956-02-01,14.89770169297251
1956-03-01,15.31562358658667
1956-04-01,15.63104058299316
1956-05-01,18.346179935483878
1956-06-01,20.47434302384832
1956-07-01,22.81179827854747
1956-08-01,22.89455477419355
1956-09-01,20.91695863333333
1956-10-01,18.729184580645168
1956-11-01,14.05113811666667
1956-12-01,12.54594573693156
1957-01-01,10.255387506451608
1957-02-01,14.52113580357143
1957-03-01,13.684149467741936
1957-04-01,16.22598486839632
1957-05-01,18.257834870967738
1957-06-01,18.93439063333333
1957-07-01,21.663003935483868
1957-08-01,23.490282451612902
1957-09-01,21.361595240714692
1957-10-01,18.97550161459436
1957-11-01,16.71283806666667
1957-12-01,15.811692419354836
1958-01-01,12.960663983870967
1958-02-01,14.000486089285717
1958-03-01,17.34837148387097
1958-04-01,16.30385543333333
1958-05-01,18.753602903225808
1958-06-01,20.880718199999997
1958-07-01,24.03127393548387
1958-08-01,24.215761451612902
1958-09-01,20.688212169354983
1958-10-01,20.17288981731777
1958-11-01,16.014913847298377
1958-12-01,12.888452854838707
1959-01-01,10.713838244442769
1959-02-01,12.257846732242236
1959-03-01,15.550401548387097
1959-04-01,16.688400928401034
1959-05-01,17.47910671461159
1959-06-01,20.602586199999998
1959-07-01,22.0547375483871
1959-08-01,24.25207116129032
1959-09-01,20.199788101449716
1959-10-01,19.813573214313546
1959-11-01,15.13587667980142
1959-12-01,14.316611889705296
1960-01-01,11.049659744939733
1960-02-01,13.85461880357143
1960-03-01,15.714129548387097
1960-04-01,16.495259816666668
1960-05-01,18.587452151336564
1960-06-01,21.516895299999995
1960-07-01,23.1386875483871
1960-08-01,23.39827536765364
1960-09-01,20.702340633333332
1960-10-01,20.226632758559745
1960-11-01,14.594995116666668
1960-12-01,13.140843010272574
1961-01-01,12.16135076319415
1961-02-01,11.792102482142859
1961-03-01,15.053498506623507
1961-04-01,16.411277433333332
1961-05-01,18.208953935483876
1961-06-01,17.13037463333333
1961-07-01,20.14504393548387
1961-08-01,21.824002774193552
1961-09-01,22.566966033333333
1961-10-01,20.832347322580652
1961-11-01,16.05388009166667
1961-12-01,13.956824708701447
1962-01-01,12.754307983870968
1962-02-01,12.873201089285716
1962-03-01,15.52916248387097
1962-04-01,15.575897518558346
1962-05-01,17.07133787096774
1962-06-01,19.329585699834677
1962-07-01,22.50554893548387
1962-08-01,23.1100104516129
1962-09-01,19.362940364726622
1962-10-01,18.782346580645164
1962-11-01,16.19249409166667
1962-12-01,13.787647008064518
1963-01-01,10.774515618307541
1963-02-01,13.19141880357143
1963-03-01,13.912739467741936
1963-04-01,15.816957833333337
1963-05-01,19.32730990322581
1963-06-01,20.723734299999997
1963-07-01,22.4781955483871
1963-08-01,22.6100994516129
1963-09-01,19.765432412510126
1963-10-01,18.69054389030906
1963-11-01,16.73761709166667
1963-12-01,12.968172354838707
1964-01-01,10.72602350645161
1964-02-01,12.73840248214286
1964-03-01,14.759428981598818
1964-04-01,15.574288533001697
1964-05-01,17.688339935483878
1964-06-01,20.625835199999997
1964-07-01,22.32048993548387
1964-08-01,22.07067513166758
1964-09-01,22.254939595972704
1964-10-01,19.86833857390206
1964-11-01,16.830678448969483
1964-12-01,15.361633419354837
1965-01-01,12.253152177419352
1965-02-01,14.013271089285716
1965-03-01,15.058855548387097
1965-04-01,14.950131816666667
1965-05-01,16.775079054048987
1965-06-01,19.998443514938927
1965-07-01,22.159323386993158
1965-08-01,22.831164966486796
1965-09-01,23.95828003333333
1965-10-01,19.195455322580653
1965-11-01,16.956557066666672
1965-12-01,13.789192008064518
1966-01-01,13.657603983870967
1966-02-01,15.132791664793132
1966-03-01,15.966138483870969
1966-04-01,14.423540433333331
1966-05-01,20.46514890322581
1966-06-01,20.11703109683707
1966-07-01,23.44223293548387
1966-08-01,24.22045116129032
1966-09-01,20.697554633333333
1966-10-01,20.142036274193547
1966-11-01,15.881105515575918
1966-12-01,14.025912008064518
1967-01-01,12.456065177419351
1967-02-01,13.106348801771963
1967-03-01,15.313593548387097
1967-04-01,14.57108917686328
1967-05-01,16.908290935483876
